x	y
-4.713000	0.428147
-4.712000	0.411037
-4.711000	0.393784
-4.710000	0.376396
-4.709000	0.358877
-4.708000	0.341235
-4.707000	0.323476
-4.706000	0.305606
-4.705000	0.287631
-4.704000	0.269559
-4.703000	0.251395
-4.702000	0.233145
-4.701000	0.214817
-4.700000	0.196417
-4.699000	0.177952
-4.698000	0.159428
-4.697000	0.140851
-4.696000	0.122228
-4.695000	0.103567
-4.694000	0.084873
-4.693000	0.066153
-4.692000	0.047413
-4.691000	0.028661
-4.690000	0.009903
-4.689000	-0.008855
-4.688000	-0.027606
-4.687000	-0.046343
-4.686000	-0.065059
-4.685000	-0.083749
-4.684000	-0.102405
-4.683000	-0.121022
-4.682000	-0.139592
-4.681000	-0.158109
-4.680000	-0.176567
-4.679000	-0.194959
-4.678000	-0.213278
-4.677000	-0.231519
-4.676000	-0.249676
-4.675000	-0.267741
-4.674000	-0.285708
-4.673000	-0.303572
-4.672000	-0.321326
-4.671000	-0.338964
-4.670000	-0.356480
-4.669000	-0.373867
-4.668000	-0.391121
-4.667000	-0.408234
-4.666000	-0.425202
-4.665000	-0.442018
-4.664000	-0.458676
-4.663000	-0.475172
-4.662000	-0.491498
-4.661000	-0.507650
-4.660000	-0.523622
-4.659000	-0.539409
-4.658000	-0.555005
-4.657000	-0.570405
-4.656000	-0.585604
-4.655000	-0.600597
-4.654000	-0.615378
-4.653000	-0.629942
-4.652000	-0.644286
-4.651000	-0.658403
-4.650000	-0.672289
-4.649000	-0.685940
-4.648000	-0.699351
-4.647000	-0.712517
-4.646000	-0.725434
-4.645000	-0.738098
-4.644000	-0.750505
-4.643000	-0.762649
-4.642000	-0.774528
-4.641000	-0.786138
-4.640000	-0.797474
-4.639000	-0.808533
-4.638000	-0.819312
-4.637000	-0.829806
-4.636000	-0.840012
-4.635000	-0.849927
-4.634000	-0.859548
-4.633000	-0.868872
-4.632000	-0.877895
-4.631000	-0.886615
-4.630000	-0.895029
-4.629000	-0.903135
-4.628000	-0.910929
-4.627000	-0.918409
-4.626000	-0.925573
-4.625000	-0.932418
-4.624000	-0.938943
-4.623000	-0.945145
-4.622000	-0.951023
-4.621000	-0.956575
-4.620000	-0.961798
-4.619000	-0.966692
-4.618000	-0.971255
-4.617000	-0.975486
-4.616000	-0.979383
-4.615000	-0.982946
-4.614000	-0.986172
-4.613000	-0.989062
-4.612000	-0.991615
-4.611000	-0.993830
-4.610000	-0.995707
-4.609000	-0.997244
-4.608000	-0.998442
-4.607000	-0.999301
-4.606000	-0.999820
-4.605000	-1.000000
-4.604000	-0.999840
-4.603000	-0.999342
-4.602000	-0.998505
-4.601000	-0.997329
-4.600000	-0.995817
-4.599000	-0.993967
-4.598000	-0.991782
-4.597000	-0.989261
-4.596000	-0.986407
-4.595000	-0.983220
