x	y
2.252150840328070e+00	-6.590755149959994e-01
2.252150840357805e+00	-6.590755148975104e-01
2.297922133698092e+00	-9.070039954989808e-01
2.297922133700395e+00	-9.070039954932844e-01
2.297922133700592e+00	-9.070039954927960e-01
-2.529095443196330e+00	2.243509019862897e-01
-2.405188590099829e+00	-8.395782030234639e-01
-2.405188589999902e+00	-8.395782033171189e-01
-2.405188589971608e+00	-8.395782034002662e-01
-2.405188589937459e+00	-8.395782035006188e-01
-2.405188589899894e+00	-8.395782036110139e-01
-2.405188589869150e+00	-8.395782037013585e-01
-2.405188589835492e+00	-8.395782038002718e-01
-2.405188589801332e+00	-8.395782039006585e-01
-2.405188589763766e+00	-8.395782040110535e-01
-2.344502120099868e+00	-9.999975933928584e-01
2.558610488940337e+00	5.026009038004960e-01
2.558610488940289e+00	5.026009038007510e-01
2.558610488921442e+00	5.026009039007461e-01
2.558610488921414e+00	5.026009039008916e-01
2.558610488902546e+00	5.026009040009960e-01
2.558610488902540e+00	5.026009040010324e-01
2.558610488902450e+00	5.026009040015058e-01
2.558610488899719e+00	5.026009040159989e-01
-2.624065046600141e+00	9.338621514926005e-01
-2.624065046634570e+00	9.338621513980141e-01
-2.624065046670556e+00	9.338621512991500e-01
2.832829588324233e+00	-3.352623525976291e-01
2.832829588336875e+00	-3.352623524968692e-01
2.832829588349516e+00	-3.352623523961092e-01
-2.859440462244140e+00	-6.010675746027193e-01
-2.859440462223853e+00	-6.010675747026218e-01
3.141797144799585e+00	7.784688059343793e-01
3.141797144783317e+00	7.784688060018109e-01
3.141797144781570e+00	7.784688060090549e-01
